eye,34
brain,29
retina,27
liver,26
heart,24
somite,22
epidermis,19
myotome,19
epiphysis,19
musculature system,18
diencephalon,17
pectoral fin,14
gut,14
integument,14
hindbrain,14
muscle,14
gill,14
periderm,13
spinal cord,13
central nervous system,12
midbrain,12
forebrain,12
testis,12
telencephalon,11
pancreas,11
fin,10
retinal cone cell,10
pharyngeal arch 3-7 skeleton,9
pharyngeal arch,9
neural tube,9
yolk syncytial layer,9
retinal photoreceptor layer,9
photoreceptor cell,9
otic vesicle,8
adaxial cell,8
peripheral olfactory organ,8
cranial ganglion,8
ovary,8
EVL,8
pectoral fin musculature,8
ventral region,8
blood,8
retinal outer nuclear layer,8
hypophysis,7
lateral line system,7
heart tube,7
neuron,7
intestine,7
retinal ganglion cell layer,7
trunk musculature,7
exocrine pancreas,7
neural crest,6
cephalic musculature,6
notochord,6
head mesenchyme,6
head,6
hypothalamus,6
olfactory placode,6
trigeminal ganglion,6
optic tectum,6
pharynx,6
fast muscle cell,6
mesoderm,5
heart rudiment,5
immature eye,5
rhombomere,5
midbrain hindbrain boundary,5
cerebellum,5
neuromast,5
intermediate cell mass of mesoderm,5
epidermal cell,5
retinal inner nuclear layer,5
skeletal muscle,5
nervous system,5
median fin fold,4
fin fold pectoral fin bud,4
apical ectodermal ridge pectoral fin bud,4
axis,4
primitive heart tube,4
lens,4
post-vent region,4
pronephric duct,4
trunk vasculature,4
ventricular zone,4
vasculature,4
spinal cord neural tube,4
male organism,4
optic vesicle,4
hypaxial myotome region,4
tegmentum,4
olfactory bulb,4
posterior lateral line ganglion,4
trigeminal placode,4
periventricular grey zone,4
retinal rod cell,4
kidney,4
skeletal muscle cell,4
female organism,4
chordo neural hinge,3
inner ear,3
trunk,3
caudal fin,3
floor plate,3
dorsal fin,3
solid lens vesicle,3
neural rod,3
yolk,3
olfactory pit,3
ectoderm,3
polster,3
segmental plate,3
neural plate,3
primary neuron,3
pharyngeal arch 3-7,3
ventral wall of dorsal aorta,3
pronephros,3
blood island,3
epithelium,3
dorsal region,3
prechordal plate,3
anatomical region,3
hatching gland,3
renal system,3
ventral side,3
erythroid lineage cell,3
nucleate erythrocyte,3
hypochord,2
Meckel's cartilage,2
tail bud,2
dermis,2
dorsal aorta,2
post-vent vasculature,2
bulbus arteriosus,2
hindbrain neural rod,2
paraxial mesoderm,2
rhombomere 4,2
vein,2
lateral line ganglion,2
midbrain neural keel,2
retinal pigmented epithelium,2
glial cell,2
amacrine cell,2
alar plate midbrain region,2
anterior region,2
caudal hematopoietic tissue,2
midbrain hindbrain boundary neural keel,2
mouth,2
cranium,2
otolith,2
posterior lateral mesoderm,2
otic placode,2
posterior macula,2
epithelial cell,2
dorsal surface,2
pectoral fin bud,2
pectoral fin fold,2
artery,2
posterior lateral line primordium,2
fin bud,2
retinal ganglion cell,2
ventral mesoderm,2
dorsal habenular nucleus,2
dorsal periventricular hypothalamus,2
dorsal telencephalon,2
blood cell,2
nucleus of the tract of the postoptic commissure,2
nucleus of the medial longitudinal fasciculus synencephalon,2
nucleus of the medial longitudinal fasciculus medulla oblongata,2
blastoderm,2
intestinal bulb,2
esophagus,2
ball,2
hepatocyte,2
statoacoustic (VIII) ganglion,2
Rohon-Beard neuron,2
corpus cerebelli,2
swim bladder,2
blastomere,2
presumptive neural retina,2
red sensitive photoreceptor cell,2
myeloid cell,2
sternohyoid,2
bone element,2
olfactory epithelium,2
lip,2
barbel,2
slow muscle cell,2
green sensitive photoreceptor cell,2
photoreceptor outer segment layer,2
pineal complex,2
pancreatic bud,2
endocrine system,2
head muscle,2
posterior lateral plate mesoderm,2
axial mesoderm,1
proctodeum,1
parachordal cartilage,1
cranial cartilage,1
chondrocyte,1
neurocranial trabecula,1
palatoquadrate cartilage,1
lateral plate mesoderm,1
posterior recess,1
pharyngeal pouch,1
mesodermal cell,1
apical ectodermal ridge dorsal fin,1
ciliary marginal zone,1
atrium,1
neuroectoderm,1
heart primordium,1
lateral mesoderm,1
cardiac ventricle,1
vertical myoseptum,1
floor plate spinal cord region,1
portion of connective tissue,1
perichordal connective tissue,1
dorsal fin fold,1
horizontal myoseptum,1
posterior cardinal vein,1
perichondrium,1
