ENSDARG00000043171	cela1.4
ENSDARG00000043173	cela1.3
ENSDARG00000043175	unknown
ENSDARG00000095462	unknown
ENSDARG00000043168	unknown
ENSDARG00000024503	c6ast3
ENSDARG00000018263	pdia2
ENSDARG00000044204	unknown
ENSDARG00000090899	unknown
ENSDARG00000043722	cpa4
ENSDARG00000077058	unknown
ENSDARG00000029822	unknown
ENSDARG00000045834	unknown
ENSDARG00000009443	unknown
ENSDARG00000074613	unknown
ENSDARG00000037000	unknown
ENSDARG00000030915	cpa1
ENSDARG00000043279	aqp12
ENSDARG00000017490	cel.1
ENSDARG00000009153	unknown
ENSDARG00000039393	unknown
ENSDARG00000013856	amy2a
ENSDARG00000091609	unknown
ENSDARG00000045442	cpb1
ENSDARG00000021339	cpa5
ENSDARG00000052578	unknown
ENSDARG00000103687	unknown
ENSDARG00000045835	unknown
ENSDARG00000094557	nupr1b
ENSDARG00000068680	ctrl
ENSDARG00000093844	unknown
ENSDARG00000039730	unknown
ENSDARG00000007276	ela3l
ENSDARG00000060350	unknown
ENSDARG00000056744	ela2
ENSDARG00000056765	ela2l
ENSDARG00000079274	prss59.1
ENSDARG00000090428	ctrb1
ENSDARG00000017314	cela1.6
ENSDARG00000042993	prss1
ENSDARG00000073742	unknown
ENSDARG00000033227	lect2l
ENSDARG00000008363	mcl1b
ENSDARG00000102975	nsg2
ENSDARG00000076847	unknown
ENSDARG00000104458	unknown
ENSDARG00000019353	sparc
ENSDARG00000096849	unknown
ENSDARG00000009106	serinc1
ENSDARG00000054804	anp32e
ENSDARG00000105223	pmp22a
ENSDARG00000076532	si:ch211-222l21.1
ENSDARG00000099175	hmgb1a
ENSDARG00000055216	tuba1c
ENSDARG00000099195	ier2a
ENSDARG00000116491	h2az2b
ENSDARG00000020708	mdkb
ENSDARG00000055455	gpm6aa
ENSDARG00000041623	mt2
ENSDARG00000052082	gabarapb
ENSDARG00000038559	h1-0
ENSDARG00000068995	h2ax1
ENSDARG00000007795	unknown
ENSDARG00000103672	cirbpa
ENSDARG00000062326	unknown
ENSDARG00000087636	unknown
ENSDARG00000033009	unknown
ENSDARG00000020298	btg2
ENSDARG00000036162	hnrnpa0b
ENSDARG00000015050	unknown
ENSDARG00000029818	srsf5a
ENSDARG00000007960	hnrnpaba
ENSDARG00000031427	unknown
ENSDARG00000100003	glulb
ENSDARG00000004621	gpm6ab
ENSDARG00000031776	unknown
ENSDARG00000027249	btg1
ENSDARG00000035715	marcksl1b
ENSDARG00000099776	glula
ENSDARG00000037071	rps26
ENSDARG00000035400	btf3
ENSDARG00000045248	unknown
ENSDARG00000059906	sdc4
ENSDARG00000053291	pnrc2
ENSDARG00000039914	gapdhs
ENSDARG00000031317	ppdpfb
ENSDARG00000028335	hmga1a
ENSDARG00000043531	jun
ENSDARG00000080337	unknown
ENSDARG00000040764	id1
ENSDARG00000103919	unknown
ENSDARG00000029722	hmgb2a
ENSDARG00000025350	prdx2
ENSDARG00000040439	rsl24d1
ENSDARG00000009212	ppiaa
ENSDARG00000013351	cirbpb
ENSDARG00000101766	ptmab
ENSDARG00000077777	tmsb4x
ENSDARG00000058358	krt8
ENSDARG00000037870	actb2
ENSDARG00000009779	mcl1a
ENSDARG00000087303	cebpd
ENSDARG00000074378	junba
ENSDARG00000029150	unknown
ENSDARG00000015551	fth1a
ENSDARG00000099572	unknown
ENSDARG00000035519	histh1l
ENSDARG00000031683	fosab
ENSDARG00000036080	unknown
ENSDARG00000103720	unknown
ENSDARG00000099970	unknown
ENSDARG00000079305	hbae3
