ENSDARG00000022261	pdzk1
ENSDARG00000037873	unknown
ENSDARG00000071592	aqp8a.2
ENSDARG00000061858	unknown
ENSDARG00000016918	unknown
ENSDARG00000039423	unknown
ENSDARG00000100635	chia.1
ENSDARG00000013871	slc5a1
ENSDARG00000056781	zanl
ENSDARG00000020866	unknown
ENSDARG00000099185	chia.2
ENSDARG00000058462	unknown
ENSDARG00000040466	vil1
ENSDARG00000103639	unknown
ENSDARG00000032639	cd36
ENSDARG00000040747	tm4sf4
ENSDARG00000102004	apoea
ENSDARG00000037425	s100a10a
ENSDARG00000043729	plac8.1
ENSDARG00000053853	unknown
ENSDARG00000105644	unknown
ENSDARG00000090185	unknown
ENSDARG00000059227	fabp1b.1
ENSDARG00000016081	cldn15la
ENSDARG00000012076	apoa1a
ENSDARG00000089399	unknown
ENSDARG00000103878	anpepb
ENSDARG00000068088	unknown
ENSDARG00000057035	stoml3b
ENSDARG00000095633	unknown
ENSDARG00000103295	cyp3a65
ENSDARG00000055539	unknown
ENSDARG00000070038	rbp2a
ENSDARG00000006427	fabp2
ENSDARG00000006207	gpx1b
ENSDARG00000036834	unknown
ENSDARG00000093044	unknown
ENSDARG00000070057	unknown
ENSDARG00000014031	abcc2
ENSDARG00000022767	apobb.1
ENSDARG00000092155	apoc2
ENSDARG00000095863	unknown
ENSDARG00000038153	lgals2b
ENSDARG00000067995	myhz1.2
ENSDARG00000006220	ugt1a1
ENSDARG00000020364	fbp1b
ENSDARG00000023820	faxdc2
ENSDARG00000097209	cox8b
ENSDARG00000013522	pck1
ENSDARG00000013721	g6pca.2
ENSDARG00000040298	apoa4b.1
ENSDARG00000014556	serpinb1l3
ENSDARG00000003113	ada
ENSDARG00000029995	tnni2b.2
ENSDARG00000035882	unknown
ENSDARG00000090228	gsta.1
ENSDARG00000045230	cox6b1
ENSDARG00000104347	rtn4b
ENSDARG00000006215	akr1b1.1
ENSDARG00000068478	gpx4a
ENSDARG00000023151	ucp1
ENSDARG00000096257	unknown
ENSDARG00000098746	dhrs13l1
ENSDARG00000024278	adh8b
ENSDARG00000067990	unknown
ENSDARG00000021059	alas1
ENSDARG00000043457	gapdh
ENSDARG00000033285	gsto2
ENSDARG00000025375	idh1
ENSDARG00000055618	acta1b
ENSDARG00000070844	gamt
ENSDARG00000039007	eno3
ENSDARG00000053858	unknown
ENSDARG00000070835	tnnc2
ENSDARG00000101074	glud1b
ENSDARG00000002589	mylpfb
ENSDARG00000053684	aldob
ENSDARG00000035327	ckma
ENSDARG00000033683	tpma
ENSDARG00000037789	pvalb1
ENSDARG00000036456	anxa4
ENSDARG00000100513	rps27l
ENSDARG00000053254	mylpfa
ENSDARG00000068457	tnnt3b
ENSDARG00000017441	mylz3
ENSDARG00000002768	pvalb2
ENSDARG00000029069	tnni2a.4
ENSDARG00000040565	ckmb
ENSDARG00000099197	actc1b
ENSDARG00000036080	unknown
ENSDARG00000100003	glulb
ENSDARG00000011640	syt5b
ENSDARG00000036577	atp6v0cb
ENSDARG00000019353	sparc
ENSDARG00000104458	unknown
ENSDARG00000020708	mdkb
ENSDARG00000055455	gpm6aa
ENSDARG00000105223	pmp22a
ENSDARG00000004621	gpm6ab
ENSDARG00000033655	stmn1b
ENSDARG00000035715	marcksl1b
ENSDARG00000036036	mdka
ENSDARG00000071626	ptgdsb.2
ENSDARG00000028335	hmga1a
ENSDARG00000012405	col1a1a
ENSDARG00000099776	glula
ENSDARG00000017274	opn1sw2
ENSDARG00000056511	arr3a
ENSDARG00000007697	fabp7a
ENSDARG00000103919	unknown
ENSDARG00000035519	histh1l
ENSDARG00000035798	gngt1
ENSDARG00000027088	ptgdsb.1
ENSDARG00000007275	si:ch211-251b21.1
ENSDARG00000099572	unknown
ENSDARG00000027236	rs1a
ENSDARG00000101766	ptmab
ENSDARG00000102558	pde6ha
ENSDARG00000101199	rbp4
ENSDARG00000093303	ifitm1
ENSDARG00000044684	rbp4l
ENSDARG00000099970	unknown
ENSDARG00000002193	rho
ENSDARG00000045143	hbbe2
ENSDARG00000113599	hbbe1.1
