ENSDARG00000040045	cldn1
ENSDARG00000104992	epgn
ENSDARG00000045887	unknown
ENSDARG00000092283	cxl34b.11
ENSDARG00000089645	unknown
ENSDARG00000041339	zgc:92380
ENSDARG00000054616	cldni
ENSDARG00000069503	cldnh
ENSDARG00000035018	thy1
ENSDARG00000097959	unknown
ENSDARG00000116617	spaca4l
ENSDARG00000102332	spint1a
ENSDARG00000040534	epcam
ENSDARG00000088711	lgals1l1
ENSDARG00000099117	unknown
ENSDARG00000014047	cldn7b
ENSDARG00000004539	ptgs2a
ENSDARG00000098011	unknown
ENSDARG00000012972	cfl1l
ENSDARG00000009018	rhbg
ENSDARG00000040295	apoeb
ENSDARG00000009544	cldnb
ENSDARG00000076820	unknown
ENSDARG00000056248	si:dkey-183i3.5
ENSDARG00000003808	aqp3a
ENSDARG00000075121	hbegfa
ENSDARG00000016691	cd9b
ENSDARG00000030896	foxq1a
ENSDARG00000097118	unknown
ENSDARG00000079745	si:ch211-166a6.5
ENSDARG00000043128	cldne
ENSDARG00000055192	zgc:136930
ENSDARG00000026165	col11a1a
ENSDARG00000025254	s100a10b
ENSDARG00000070480	agr2
ENSDARG00000090268	krtt1c19e
ENSDARG00000104181	tmsb1
ENSDARG00000039579	cfd
ENSDARG00000018524	midn
ENSDARG00000058371	krt5
ENSDARG00000096712	unknown
ENSDARG00000055751	fosb
ENSDARG00000036830	krt91
ENSDARG00000078619	unknown
ENSDARG00000088091	pfn1
ENSDARG00000026726	anxa1a
ENSDARG00000055514	icn2
ENSDARG00000042725	cebpb
ENSDARG00000009978	icn
ENSDARG00000036840	krt15
ENSDARG00000020133	jdp2b
ENSDARG00000027088	ptgdsb.1
ENSDARG00000017624	krt4
ENSDARG00000092947	cyt1
ENSDARG00000101199	rbp4
ENSDARG00000077777	tmsb4x
ENSDARG00000011640	syt5b
ENSDARG00000036577	atp6v0cb
ENSDARG00000055455	gpm6aa
ENSDARG00000006497	rtn1a
ENSDARG00000044935	hpdb
ENSDARG00000036080	unknown
ENSDARG00000058117	snap25b
ENSDARG00000004621	gpm6ab
ENSDARG00000020708	mdkb
ENSDARG00000055216	tuba1c
ENSDARG00000023151	ucp1
ENSDARG00000033655	stmn1b
ENSDARG00000035715	marcksl1b
ENSDARG00000016771	tfa
ENSDARG00000030479	hmgb1b
ENSDARG00000013430	bhmt
ENSDARG00000105223	pmp22a
ENSDARG00000038378	sagb
ENSDARG00000019902	rcvrn2
ENSDARG00000045835	unknown
ENSDARG00000036036	mdka
ENSDARG00000093844	unknown
ENSDARG00000099420	nme2b.2
ENSDARG00000021339	cpa5
ENSDARG00000056765	ela2l
ENSDARG00000068457	tnnt3b
ENSDARG00000007276	ela3l
ENSDARG00000027236	rs1a
ENSDARG00000060350	unknown
ENSDARG00000068680	ctrl
ENSDARG00000098475	arr3b
ENSDARG00000056744	ela2
ENSDARG00000039730	unknown
ENSDARG00000099776	glula
ENSDARG00000040565	ckmb
ENSDARG00000033683	tpma
ENSDARG00000043457	gapdh
ENSDARG00000043257	ckbb
ENSDARG00000007697	fabp7a
ENSDARG00000038153	lgals2b
ENSDARG00000042993	prss1
ENSDARG00000103919	unknown
ENSDARG00000035327	ckma
ENSDARG00000029069	tnni2a.4
ENSDARG00000090428	ctrb1
ENSDARG00000073742	unknown
ENSDARG00000093303	ifitm1
ENSDARG00000017314	cela1.6
ENSDARG00000103543	gngt2b
ENSDARG00000007275	si:ch211-251b21.1
ENSDARG00000079274	prss59.1
ENSDARG00000045677	opn1sw1
ENSDARG00000017441	mylz3
ENSDARG00000056511	arr3a
ENSDARG00000099197	actc1b
ENSDARG00000002768	pvalb2
ENSDARG00000037789	pvalb1
ENSDARG00000053254	mylpfa
ENSDARG00000102558	pde6ha
ENSDARG00000002193	rho
ENSDARG00000015866	apoa2
ENSDARG00000101324	apoa1b
ENSDARG00000044684	rbp4l
ENSDARG00000045143	hbbe2
ENSDARG00000079305	hbae3
