ENSDARG00000005221	desmb
ENSDARG00000004753	mylkb
ENSDARG00000030980	unknown
ENSDARG00000009782	myh11a
ENSDARG00000068257	unknown
ENSDARG00000117253	unknown
ENSDARG00000079296	gcga
ENSDARG00000096655	unknown
ENSDARG00000045180	acta2
ENSDARG00000045408	tagln
ENSDARG00000096508	unknown
ENSDARG00000038123	myl9a
ENSDARG00000045930	rbpms2a
ENSDARG00000105408	unknown
ENSDARG00000097553	unknown
ENSDARG00000057113	c6
ENSDARG00000039579	cfd
ENSDARG00000086391	cald1b
ENSDARG00000008494	myl6
ENSDARG00000039436	il13ra2
ENSDARG00000104795	cxcl8a
ENSDARG00000045999	saa
ENSDARG00000102299	cxcl8b.1
ENSDARG00000045141	aqp8a.1
ENSDARG00000031228	podxl
ENSDARG00000014646	unknown
ENSDARG00000105562	unknown
ENSDARG00000006526	fn1b
ENSDARG00000098761	rgs2
ENSDARG00000074201	unknown
ENSDARG00000007219	actn1
ENSDARG00000075045	cxcl18b
ENSDARG00000012671	inhbaa
ENSDARG00000087402	tpm1
ENSDARG00000061436	col6a2
ENSDARG00000002644	rgs5a
ENSDARG00000074908	col6a1
ENSDARG00000044975	unknown
ENSDARG00000094719	unknown
ENSDARG00000033466	tagln2
ENSDARG00000023713	aqp1a.1
ENSDARG00000008030	myl9b
ENSDARG00000093303	ifitm1
ENSDARG00000098700	il1b
ENSDARG00000090352	unknown
ENSDARG00000023963	tpm4a
ENSDARG00000058734	prdx1
ENSDARG00000071196	cavin2b
ENSDARG00000004539	ptgs2a
ENSDARG00000056627	cxcl14
ENSDARG00000055901	unknown
ENSDARG00000102175	hamp
ENSDARG00000052063	col4a5
ENSDARG00000090444	ponzr1
ENSDARG00000056795	serpine1
ENSDARG00000058128	msna
ENSDARG00000044125	txn
ENSDARG00000090552	si:dkey-7j14.6
ENSDARG00000017299	fabp11a
ENSDARG00000043102	lxn
ENSDARG00000099351	igfbp1a
ENSDARG00000095556	unknown
ENSDARG00000022650	unknown
ENSDARG00000025428	socs3a
ENSDARG00000091234	unknown
ENSDARG00000059906	sdc4
ENSDARG00000043531	jun
ENSDARG00000074378	junba
ENSDARG00000101479	unknown
ENSDARG00000031683	fosab
ENSDARG00000058117	snap25b
ENSDARG00000011640	syt5b
ENSDARG00000102975	nsg2
ENSDARG00000027236	rs1a
ENSDARG00000023151	ucp1
ENSDARG00000092170	apoc1
ENSDARG00000055216	tuba1c
ENSDARG00000033655	stmn1b
ENSDARG00000006427	fabp2
ENSDARG00000014196	myl1
ENSDARG00000004621	gpm6ab
ENSDARG00000055455	gpm6aa
ENSDARG00000041623	mt2
ENSDARG00000068457	tnnt3b
ENSDARG00000043457	gapdh
ENSDARG00000035327	ckma
ENSDARG00000099776	glula
ENSDARG00000029069	tnni2a.4
ENSDARG00000058371	krt5
ENSDARG00000027088	ptgdsb.1
ENSDARG00000017441	mylz3
ENSDARG00000033683	tpma
ENSDARG00000053254	mylpfa
ENSDARG00000056511	arr3a
ENSDARG00000099197	actc1b
ENSDARG00000007697	fabp7a
ENSDARG00000037789	pvalb1
ENSDARG00000045677	opn1sw1
ENSDARG00000036832	unknown
ENSDARG00000103543	gngt2b
ENSDARG00000002768	pvalb2
ENSDARG00000009978	icn
ENSDARG00000102558	pde6ha
ENSDARG00000092947	cyt1
ENSDARG00000044684	rbp4l
ENSDARG00000017624	krt4
ENSDARG00000015866	apoa2
ENSDARG00000002193	rho
