ENSDARG00000087359	c3a.2
ENSDARG00000070078	abcb11b
ENSDARG00000001818	c3b.2
ENSDARG00000070960	unknown
ENSDARG00000055036	itih3a
ENSDARG00000039517	c8b
ENSDARG00000074191	unknown
ENSDARG00000021004	unknown
ENSDARG00000039516	c8a
ENSDARG00000057498	habp2
ENSDARG00000077960	unknown
ENSDARG00000086569	unknown
ENSDARG00000056314	a2ml
ENSDARG00000041685	unknown
ENSDARG00000030872	cetp
ENSDARG00000045516	itih2
ENSDARG00000091136	unknown
ENSDARG00000069375	unknown
ENSDARG00000023157	cbln10
ENSDARG00000034862	f7
ENSDARG00000105528	unknown
ENSDARG00000026764	ahsg1
ENSDARG00000078918	comtd1
ENSDARG00000075827	f7i
ENSDARG00000042780	apoba
ENSDARG00000052207	c3a.3
ENSDARG00000079543	unknown
ENSDARG00000100442	cfh
ENSDARG00000069293	unknown
ENSDARG00000023111	plg
ENSDARG00000019492	shbg
ENSDARG00000054319	oxct1b
ENSDARG00000055705	f5
ENSDARG00000041595	ces3
ENSDARG00000041645	sb:cb37
ENSDARG00000076448	serpinf2a
ENSDARG00000053831	vtnb
ENSDARG00000099633	unknown
ENSDARG00000090943	unknown
ENSDARG00000043719	c3a.6
ENSDARG00000032098	c8g
ENSDARG00000031616	g6pca.1
ENSDARG00000044365	angptl3
ENSDARG00000002197	pygl
ENSDARG00000016412	agt
ENSDARG00000036041	f2
ENSDARG00000055278	cfb
ENSDARG00000036833	upp2
ENSDARG00000071429	unknown
ENSDARG00000010267	dpydb
ENSDARG00000079544	unknown
ENSDARG00000042684	serpinc1
ENSDARG00000104108	slco1d1
ENSDARG00000092858	unknown
ENSDARG00000067851	unknown
ENSDARG00000061383	unknown
ENSDARG00000023176	tdo2b
ENSDARG00000104329	unknown
ENSDARG00000024160	unknown
ENSDARG00000045299	unknown
ENSDARG00000042613	unknown
ENSDARG00000010312	cp
ENSDARG00000079727	selenop2
ENSDARG00000016319	c9
ENSDARG00000051912	unknown
ENSDARG00000078757	unknown
ENSDARG00000040781	sult3st4
ENSDARG00000100406	zgc:112265
ENSDARG00000052099	agxta
ENSDARG00000053405	unknown
ENSDARG00000022372	kng1
ENSDARG00000098315	cyp1a
ENSDARG00000079589	unknown
ENSDARG00000087143	serpina7
ENSDARG00000095807	unknown
ENSDARG00000012694	c3a.1
ENSDARG00000004296	ambp
ENSDARG00000011521	upb1
ENSDARG00000089310	gc
ENSDARG00000007421	ftcd
ENSDARG00000008969	fgb
ENSDARG00000036237	slc27a2a
ENSDARG00000020741	fga
ENSDARG00000102456	cfhl4
ENSDARG00000041787	cx32.3
ENSDARG00000076043	unknown
ENSDARG00000091916	ugt5b4
ENSDARG00000019986	grhprb
ENSDARG00000007024	uox
ENSDARG00000086654	unknown
ENSDARG00000018351	hpda
ENSDARG00000002986	unknown
ENSDARG00000037191	ttr
ENSDARG00000095767	unknown
ENSDARG00000038199	cdab
ENSDARG00000090722	leg1.1
ENSDARG00000043342	gpx3
ENSDARG00000015662	pla2g12b
ENSDARG00000093774	rbp2b
ENSDARG00000022767	apobb.1
ENSDARG00000041797	unknown
ENSDARG00000003523	itln3
ENSDARG00000056498	unknown
ENSDARG00000037281	fgg
ENSDARG00000103785	sult2st2
ENSDARG00000013721	g6pca.2
ENSDARG00000103277	cyp24a1
ENSDARG00000100719	unknown
ENSDARG00000099819	sb:cb1058
ENSDARG00000052470	igfbp2a
ENSDARG00000090286	serpina1
ENSDARG00000006220	ugt1a1
ENSDARG00000100952	unknown
ENSDARG00000090850	serpina1l
ENSDARG00000018478	agxtb
ENSDARG00000042010	pklr
ENSDARG00000045306	slc51a
ENSDARG00000041569	ces2a
ENSDARG00000029230	pnp4b
ENSDARG00000104172	diabloa
ENSDARG00000099200	zgc:123103
ENSDARG00000014572	chpt1
ENSDARG00000052734	hmgcra
ENSDARG00000043180	gpd1b
ENSDARG00000092155	apoc2
ENSDARG00000038666	igfbp1b
ENSDARG00000077004	aldh1l1
ENSDARG00000076838	apom
ENSDARG00000012194	scp2a
ENSDARG00000020387	nipsnap3a
ENSDARG00000043279	aqp12
ENSDARG00000018149	slc38a4
ENSDARG00000020364	fbp1b
ENSDARG00000092170	apoc1
ENSDARG00000040298	apoa4b.1
ENSDARG00000095863	unknown
ENSDARG00000036239	gatm
ENSDARG00000088581	f10
ENSDARG00000099351	igfbp1a
ENSDARG00000039605	mat1a
ENSDARG00000033227	lect2l
ENSDARG00000104702	cat
ENSDARG00000016771	tfa
ENSDARG00000105187	gcshb
ENSDARG00000020956	pck2
ENSDARG00000006526	fn1b
ENSDARG00000021172	cyp2ad2
ENSDARG00000053973	fetub
ENSDARG00000035882	unknown
ENSDARG00000020143	pah
ENSDARG00000102175	hamp
ENSDARG00000013522	pck1
ENSDARG00000069752	ckba
ENSDARG00000059035	unknown
ENSDARG00000042428	gstt1a
ENSDARG00000017794	sdr16c5b
ENSDARG00000068478	gpx4a
ENSDARG00000076386	unknown
ENSDARG00000075015	unknown
ENSDARG00000069464	unknown
ENSDARG00000023151	ucp1
ENSDARG00000009040	si:ch73-141c7.1
ENSDARG00000044914	suclg2
ENSDARG00000006840	gnmt
ENSDARG00000045230	cox6b1
ENSDARG00000042953	cyp2n13
ENSDARG00000019541	gpt2l
