	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ENSDARG00000058005	0	1.3695992072894	0.588	0.087	0	1	ENSDARG00000058005
ENSDARG00000027582	0	1.35715225442391	0.231	0.024	0	1	ENSDARG00000027582
ENSDARG00000056087	0	1.34283996112022	0.281	0.043	0	1	ENSDARG00000056087
ENSDARG00000044895	0	1.30558102370929	0.443	0.04	0	1	ENSDARG00000044895
ENSDARG00000040944	0	1.27640897799474	0.439	0.046	0	1	ENSDARG00000040944
ENSDARG00000025670	0	1.23080586178509	0.31	0.047	0	1	ENSDARG00000025670
ENSDARG00000028618	0	1.22948525035623	0.645	0.12	0	1	ENSDARG00000028618
ENSDARG00000094422	0	1.20854206852096	0.316	0.025	0	1	ENSDARG00000094422
ENSDARG00000069630	0	1.20747586714324	0.34	0.072	0	1	ENSDARG00000069630
ENSDARG00000071095	0	1.20288453228922	0.29	0.028	0	1	ENSDARG00000071095
ENSDARG00000058358	0	1.19907595937839	0.808	0.262	0	1	ENSDARG00000058358
ENSDARG00000019353	0	1.19278681418156	0.767	0.201	0	1	ENSDARG00000019353
ENSDARG00000104267	0	1.14504055817819	0.28	0.061	0	1	ENSDARG00000104267
ENSDARG00000103720	0	1.13835848901338	0.808	0.338	0	1	ENSDARG00000103720
ENSDARG00000031683	0	1.13783432305533	0.897	0.529	0	1	ENSDARG00000031683
ENSDARG00000078659	0	1.13759810795823	0.588	0.092	0	1	ENSDARG00000078659
ENSDARG00000010008	0	1.12950647776733	0.344	0.075	0	1	ENSDARG00000010008
ENSDARG00000020072	0	1.12663238039278	0.282	0.024	0	1	ENSDARG00000020072
ENSDARG00000074378	0	1.10215280279629	0.801	0.318	0	1	ENSDARG00000074378
ENSDARG00000059933	0	1.10002107416124	0.456	0.082	0	1	ENSDARG00000059933
ENSDARG00000087303	0	1.09891151080037	0.876	0.367	0	1	ENSDARG00000087303
ENSDARG00000059367	0	1.09501062246803	0.527	0.066	0	1	ENSDARG00000059367
ENSDARG00000087697	0	1.0941700523296	0.407	0.09	0	1	ENSDARG00000087697
ENSDARG00000103443	0	1.08445186410156	0.208	0.03	0	1	ENSDARG00000103443
ENSDARG00000014796	0	1.07458384062202	0.245	0.026	0	1	ENSDARG00000014796
