liver,154
brain,69
yolk syncytial layer,63
eye,49
retina,48
heart,46
somite,44
intestine,41
myotome,38
muscle,35
central nervous system,35
gut,34
spinal cord,34
gill,32
hindbrain,31
midbrain,30
ovary,29
optic tectum,26
otic vesicle,24
diencephalon,24
kidney,23
pronephric duct,23
pectoral fin,23
intestinal bulb,21
testis,21
pharyngeal arch 3-7 skeleton,20
telencephalon,20
forebrain,20
pancreas,19
immature eye,19
lens,18
musculature system,18
neural tube,17
epiphysis,17
epidermis,16
pectoral fin musculature,15
spleen,14
midbrain hindbrain boundary,13
intermediate cell mass of mesoderm,13
optic vesicle,12
notochord,12
integument,12
adaxial cell,12
neuron,12
pharyngeal arch,12
cranial ganglion,12
yolk,11
periderm,11
blood,11
alar plate midbrain region,11
skeletal muscle,11
pectoral fin bud,11
head,11
tail bud,11
trunk musculature,11
blastomere,11
nervous system,11
fin,10
pharynx,10
mesoderm,10
peripheral olfactory organ,10
tegmentum,9
neural plate,9
neuromast,9
retinal ganglion cell layer,9
post-vent region,8
EVL,8
lateral line system,8
male organism,8
pronephros,8
solid lens vesicle,8
heart tube,8
cerebellum,8
trigeminal placode,8
rhombomere,8
female organism,7
polster,7
vein,7
caudal fin,7
artery,7
segmental plate,7
retinal cone cell,7
retinal inner nuclear layer,7
trigeminal ganglion,7
olfactory placode,7
exocrine pancreas,7
hypothalamus,6
axis,6
renal system,6
neural crest,6
ventral mesoderm,6
digestive system,6
floor plate,6
endocrine system,6
head mesenchyme,6
ventral region,6
paraxial mesoderm,6
retinal outer nuclear layer,6
cephalic musculature,6
anterior side,6
retinal photoreceptor layer,6
fast muscle cell,6
ball,5
hepatocyte,5
heart rudiment,5
swim bladder,5
olfactory bulb,5
neural rod,5
lateral line primordium,5
photoreceptor cell,5
extension,4
mucus secreting cell,4
presumptive neural retina,4
median fin fold,4
vasculature,4
intestinal bulb primordium,4
pancreatic bud,4
margin,4
ventricular zone,4
retinal pigmented epithelium,4
anatomical structure,4
periventricular grey zone,4
neural keel,4
hatching gland,4
pronephric duct opening,4
basal plate midbrain region,4
otic placode,4
skeletal muscle cell,4
cleithrum,3
chondrocranium,3
liver primordium,3
gonad,3
inner ear,3
dorsal aorta,3
trunk vasculature,3
pancreas primordium,3
hindbrain neural plate,3
dorsal fin,3
DEL,3
blastoderm,3
glial cell,3
cardiovascular system,3
optic cup,3
presumptive segmental plate,3
pigment cell,3
Kupffer's vesicle,3
primitive heart tube,3
ventral side,3
hypochord,3
dorsal region,3
prechordal plate,3
cranium,3
spinal cord neural tube,3
amacrine cell,3
posterior lateral line ganglion,3
retinal rod cell,3
blood island,3
primary neuron,3
hypaxial myotome region,3
posterior lateral plate mesoderm,3
rhombomere 3,3
hypophysis,3
myeloid cell,3
erythroid lineage cell,3
nucleate erythrocyte,3
asteriscus,2
cell,2
post-vent vasculature,2
fin fold pectoral fin bud,2
apical ectodermal ridge pectoral fin bud,2
epidermal cell,2
anatomical surface,2
caudal fin skeleton,2
oocyte,2
lapillus,2
medial region,2
distal region,2
oocyte stage IV,2
oocyte stage III,2
oocyte stage I,2
lateral region,2
mandibular arch skeleton,2
epidermal superficial stratum,2
visceral fat,2
medulla oblongata,2
cerebellar crest,2
myoseptum,2
otolith,2
scale,2
hematopoietic stem cell,2
apical ectodermal ridge dorsal fin,2
adipose tissue,2
ectoderm,2
corpus cerebelli,2
nucleus of the tract of the postoptic commissure,2
nucleus of the medial longitudinal fasciculus medulla oblongata,2
ciliary marginal zone,2
presumptive blood,2
opercle,2
dentary,2
osteoblast,2
branchiostegal ray 3,2
Meckel's cartilage,2
entopterygoid,2
maxilla,2
ceratohyal cartilage,2
horizontal cell,2
Muller cell,2
eye photoreceptor cell,2
central region,2
posterior lateral mesoderm,2
ventral wall of dorsal aorta,2
peripheral nervous system,2
neuromast support cell,2
posterior crista,2
neuromast hair cell,2
anterior crista,2
lateral crista,2
anterior axial hypoblast,2
rhombomere 5,2
statoacoustic (VIII) ganglion,2
Rohon-Beard neuron,2
motor neuron,2
third ventricle,2
proliferative region,2
slow muscle cell,2
sternohyoid,2
endocrine pancreas,2
anterior lateral line placode,2
head muscle,2
blood plasma,1
hepatic duct,1
endocardium,1
posterior cardinal vein,1
basilar artery,1
primary head sinus,1
vent,1
