pancreas,9
exocrine pancreas,7
lens,6
solid lens vesicle,4
liver,4
blood,4
vasculature,3
erythroid lineage cell,3
intermediate cell mass of mesoderm,3
nucleate erythrocyte,3
myeloid cell,2
heart,2
pancreatic bud,2
posterior lateral plate mesoderm,2
blood island,2
immature eye,1
adipose tissue,1
intestine,1
digestive system,1
endocrine system,1
hatching gland,1
hindbrain,1
midbrain hindbrain boundary,1
endocrine pancreas,1
exocrine cell,1
acinar cell,1
gut,1
hematopoietic cell,1
erythroblast,1
caudal hematopoietic tissue,1
hematopoietic multipotent progenitor cell,1
ball,1
ventral wall of dorsal aorta,1
female organism,1
posterior lateral mesoderm,1
hematopoietic stem cell,1
blood cell,1
trunk vasculature,1
post-vent region,1
post-vent vasculature,1
dorsal aorta,1
male organism,1
ventral mesoderm,1
presumptive blood,1
mesoderm,1
