ENSDARG00000001993	unknown
ENSDARG00000010472	atp1a2a
ENSDARG00000009438	myog
ENSDARG00000006757	klhl41b
ENSDARG00000102414	unknown
ENSDARG00000067701	unknown
ENSDARG00000024141	cav3
ENSDARG00000030110	myod1
ENSDARG00000008982	casq2
ENSDARG00000058656	desma
ENSDARG00000011615	mybpc3
ENSDARG00000032630	neb
ENSDARG00000104587	srl
ENSDARG00000042535	unknown
ENSDARG00000089086	mustn1b
ENSDARG00000001431	actn3b
ENSDARG00000007344	tcap
ENSDARG00000086685	trim63b
ENSDARG00000099974	ldb3b
ENSDARG00000035958	unknown
ENSDARG00000056322	ldb3a
ENSDARG00000075433	unknown
ENSDARG00000098478	unknown
ENSDARG00000061249	myom1a
ENSDARG00000076241	txlnbb
ENSDARG00000045822	unknown
ENSDARG00000059259	pabpc4
ENSDARG00000036371	acta1a
ENSDARG00000028213	ttn.2
ENSDARG00000000563	ttn.1
ENSDARG00000101128	unknown
ENSDARG00000012944	myhz2
ENSDARG00000014106	cfl2
ENSDARG00000099860	pkmb
ENSDARG00000045592	tnni2a.1
ENSDARG00000024047	tmem38a
ENSDARG00000037539	tnnc1b
ENSDARG00000030270	tnnt3a
ENSDARG00000036894	unknown
ENSDARG00000036671	tnni4b.2
ENSDARG00000079111	unknown
ENSDARG00000020574	atp2a1
ENSDARG00000067848	unknown
ENSDARG00000034470	aldoab
ENSDARG00000028027	trim63a
ENSDARG00000067997	myhz1.3
ENSDARG00000034705	pvalb7
ENSDARG00000099959	smyhc1
ENSDARG00000003081	mybphb
ENSDARG00000057571	pgam2
ENSDARG00000104682	tpm2
ENSDARG00000033832	ampd1
ENSDARG00000035458	atp2a1l
ENSDARG00000013755	actn3a
ENSDARG00000096257	unknown
ENSDARG00000096616	unknown
ENSDARG00000042245	myl13
ENSDARG00000024433	pvalb4
ENSDARG00000062592	myl10
ENSDARG00000027355	slc25a4
ENSDARG00000042018	fhl2a
ENSDARG00000002988	tnnt2d
ENSDARG00000054942	lgals2a
ENSDARG00000099420	nme2b.2
