ENSDARG00000007024	uox
ENSDARG00000018351	hpda
ENSDARG00000090722	leg1.1
ENSDARG00000093774	rbp2b
ENSDARG00000102456	cfhl4
ENSDARG00000018478	agxtb
ENSDARG00000090286	serpina1
ENSDARG00000079589	unknown
ENSDARG00000089310	gc
ENSDARG00000095807	unknown
ENSDARG00000019986	grhprb
ENSDARG00000090850	serpina1l
ENSDARG00000037191	ttr
ENSDARG00000099200	zgc:123103
ENSDARG00000076838	apom
ENSDARG00000041569	ces2a
ENSDARG00000042010	pklr
ENSDARG00000052099	agxta
ENSDARG00000076043	unknown
ENSDARG00000024160	unknown
ENSDARG00000037281	fgg
ENSDARG00000042684	serpinc1
ENSDARG00000092170	apoc1
ENSDARG00000036833	upp2
ENSDARG00000004296	ambp
ENSDARG00000038199	cdab
ENSDARG00000008969	fgb
ENSDARG00000016771	tfa
ENSDARG00000029230	pnp4b
ENSDARG00000053973	fetub
ENSDARG00000100406	zgc:112265
ENSDARG00000040298	apoa4b.1
ENSDARG00000071429	unknown
ENSDARG00000020364	fbp1b
ENSDARG00000016319	c9
ENSDARG00000023176	tdo2b
ENSDARG00000079727	selenop2
ENSDARG00000086654	unknown
ENSDARG00000023111	plg
ENSDARG00000087143	serpina7
ENSDARG00000056498	unknown
ENSDARG00000055278	cfb
ENSDARG00000036041	f2
ENSDARG00000042613	unknown
ENSDARG00000092155	apoc2
ENSDARG00000019492	shbg
ENSDARG00000040781	sult3st4
ENSDARG00000076448	serpinf2a
ENSDARG00000041595	ces3
ENSDARG00000020741	fga
ENSDARG00000079544	unknown
ENSDARG00000104172	diabloa
ENSDARG00000010312	cp
ENSDARG00000061383	unknown
ENSDARG00000095863	unknown
ENSDARG00000011521	upb1
ENSDARG00000068478	gpx4a
ENSDARG00000035882	unknown
ENSDARG00000022372	kng1
ENSDARG00000023151	ucp1
ENSDARG00000104329	unknown
ENSDARG00000012194	scp2a
ENSDARG00000041645	sb:cb37
ENSDARG00000100442	cfh
ENSDARG00000002986	unknown
ENSDARG00000033227	lect2l
ENSDARG00000012694	c3a.1
ENSDARG00000013721	g6pca.2
ENSDARG00000038439	fabp10a
ENSDARG00000003523	itln3
ENSDARG00000101324	apoa1b
ENSDARG00000039605	mat1a
ENSDARG00000043180	gpd1b
ENSDARG00000036239	gatm
ENSDARG00000013522	pck1
ENSDARG00000099351	igfbp1a
ENSDARG00000070844	gamt
ENSDARG00000069630	tat
ENSDARG00000103785	sult2st2
ENSDARG00000069752	ckba
ENSDARG00000043457	gapdh
ENSDARG00000015866	apoa2
ENSDARG00000021172	cyp2ad2
ENSDARG00000043279	aqp12
ENSDARG00000042428	gstt1a
ENSDARG00000053684	aldob
ENSDARG00000102175	hamp
ENSDARG00000105187	gcshb
ENSDARG00000076386	unknown
ENSDARG00000013430	bhmt
ENSDARG00000078619	unknown
ENSDARG00000044914	suclg2
ENSDARG00000039007	eno3
ENSDARG00000006840	gnmt
ENSDARG00000013561	pgm1
ENSDARG00000005191	ahcy
ENSDARG00000052712	suclg1
ENSDARG00000094557	nupr1b
ENSDARG00000098589	cyb5a
ENSDARG00000101074	glud1b
ENSDARG00000053485	aldh6a1
ENSDARG00000012405	col1a1a
ENSDARG00000027236	rs1a
ENSDARG00000099970	unknown
ENSDARG00000115405	unknown
ENSDARG00000045143	hbbe2
ENSDARG00000087390	unknown
ENSDARG00000079305	hbae3
