ENSDARG00000028485	cabp5b
ENSDARG00000014420	elavl3
ENSDARG00000036058	gnao1b
ENSDARG00000056292	vsx1
ENSDARG00000033655	stmn1b
ENSDARG00000089413	mbpb
ENSDARG00000035809	col1a1b
ENSDARG00000044935	hpdb
ENSDARG00000026726	anxa1a
ENSDARG00000020007	col1a2
ENSDARG00000091234	unknown
ENSDARG00000058358	krt8
ENSDARG00000013430	bhmt
ENSDARG00000023151	ucp1
ENSDARG00000012405	col1a1a
ENSDARG00000103720	unknown
ENSDARG00000016771	tfa
ENSDARG00000090352	unknown
ENSDARG00000104181	tmsb1
ENSDARG00000043457	gapdh
ENSDARG00000053684	aldob
ENSDARG00000088091	pfn1
ENSDARG00000009978	icn
ENSDARG00000035327	ckma
ENSDARG00000038378	sagb
ENSDARG00000068457	tnnt3b
ENSDARG00000067990	unknown
ENSDARG00000090268	krtt1c19e
ENSDARG00000021339	cpa5
ENSDARG00000024433	pvalb4
ENSDARG00000068680	ctrl
ENSDARG00000038153	lgals2b
ENSDARG00000040565	ckmb
ENSDARG00000093303	ifitm1
ENSDARG00000058371	krt5
ENSDARG00000033683	tpma
ENSDARG00000044861	opn1lw2
ENSDARG00000035798	gngt1
ENSDARG00000094041	krt17
ENSDARG00000101199	rbp4
ENSDARG00000095556	unknown
ENSDARG00000036832	unknown
ENSDARG00000079274	prss59.1
ENSDARG00000055514	icn2
ENSDARG00000017441	mylz3
ENSDARG00000103543	gngt2b
ENSDARG00000036830	krt91
ENSDARG00000056511	arr3a
ENSDARG00000017274	opn1sw2
ENSDARG00000053254	mylpfa
ENSDARG00000099197	actc1b
ENSDARG00000097008	opn1mw1
ENSDARG00000045677	opn1sw1
ENSDARG00000002768	pvalb2
ENSDARG00000037789	pvalb1
ENSDARG00000102558	pde6ha
ENSDARG00000092947	cyt1
ENSDARG00000017624	krt4
ENSDARG00000038439	fabp10a
ENSDARG00000115405	unknown
ENSDARG00000088330	unknown
ENSDARG00000015866	apoa2
ENSDARG00000101324	apoa1b
ENSDARG00000044684	rbp4l
ENSDARG00000045143	hbbe2
ENSDARG00000002193	rho
ENSDARG00000113599	hbbe1.1
ENSDARG00000079305	hbae3
ENSDARG00000087390	unknown
